"","CASE_NBR","CREATED","CLOSED","STATUS","TYPE","DESCRIPTION","address","LAT","LON"
"73",31420554,"2/4/2016 5:10:36 PM","","Open","Illegal Dumping","Illegal dumping - 107440","2223 MARCONI AVE, Sacramento, CA, 95821",38.618195,-121.415061
"74",31420611,"2/5/2016 6:42:22 AM","","Open","Abandoned Vehicles","Abandoned Vehicle - 107493","3137 WHITNEY AVE, Sacramento, CA, 95821",38.628848,-121.390228
"75",31420764,"2/5/2016 9:55:56 AM","","Open","Pavement","Ditches/Culverts","301 CHARLES AVE, Sacramento, CA, 95626",38.708028,-121.469113
"76",31420948,"2/5/2016 12:04:52 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","9190 SCHMUCKLEY DR, Sacramento, CA, 95826",38.543958,-121.358186
"77",31421086,"2/5/2016 1:50:32 PM","","Open","Abandoned Vehicles","Abandoned Vehicle - 107567","2029 GUNN RD, Sacramento, CA, 95608",38.601842,-121.34149
"78",31421123,"2/5/2016 2:09:25 PM","","Open","Pavement","Pavement","7808 BELLINGRATH DR, Sacramento, CA, 95626",38.709528,-121.413722
"79",31421139,"2/5/2016 2:19:44 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","9161 DUPONT WAY, Sacramento, CA, 95826",38.553656,-121.358891
"80",31421322,"2/5/2016 5:05:45 PM","","Open","Traffic Sign Complaints","Street Light Complaints","8192 SATIN SPAR WAY, Sacramento, CA, 95829",38.460055,-121.320035
"81",31421543,"2/7/2016 7:11:27 AM","","Open","Traffic Sign Complaints","Street lighting - 107787","9529 ASIMOV WAY, Sacramento, CA, 95829",38.464049,-121.342825
"82",31421671,"2/7/2016 7:20:36 PM","","Open","Traffic Sign Complaints","Street lighting - 107884","4364 GORHAM WAY, Sacramento, CA, 95655",38.544125,-121.270102
"83",31421864,"2/8/2016 9:40:20 AM","","Open","Abandoned Vehicles","Abandoned Vehicle","9092 SALMON FALLS DR, Sacramento, CA, 95826",38.56069,-121.366918
"84",31421991,"2/8/2016 10:54:38 AM","","Open","Pavement","Ditches/Culverts","13327 APPLE RD, Sacramento, CA, 95693",38.448251,-121.16721
"85",31422050,"2/8/2016 11:33:35 AM","","Open","Traffic Sign Complaints","Street Light Complaints","8043 CLANFIELD WAY, Sacramento, CA, 95829",38.465478,-121.349704
"86",31422136,"2/8/2016 12:29:14 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","8357 HAYFIELD CIR, Sacramento, CA, 95828",38.477575,-121.400908
"87",31422139,"2/8/2016 12:30:49 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","8357 HAYFIELD CIR, Sacramento, CA, 95828",38.477575,-121.400908
"88",31422202,"2/8/2016 1:03:05 PM","","Open","Tree","Tree Complaints","2301 PENNLAND DR, Sacramento, CA, 95825",38.608762,-121.394348
"89",31422628,"2/8/2016 9:12:12 PM","","Open","Abandoned Vehicles","Abandoned Vehicle - 108081","2418 PENNLAND DR, Sacramento, CA, 95825",38.610235,-121.394484
"90",31422670,"2/9/2016 7:43:35 AM","","Open","Abandoned Vehicles","Abandoned Vehicle","3735 LENORE WAY, Sacramento, CA, 95660",38.657129,-121.377413
"91",31423385,"2/9/2016 3:32:15 PM","","Open","Graffiti","Graffiti - 108207","6000 FAIR OAKS BLVD, Sacramento, CA, 95608",38.609854,-121.32882
"92",31423464,"2/9/2016 4:25:53 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","5031 42ND ST, Sacramento, CA, 95820",38.529652,-121.457531
"93",31423469,"2/9/2016 4:27:59 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","5031 42ND ST, Sacramento, CA, 95820",38.529652,-121.457531
"94",31423536,"2/9/2016 5:42:19 PM","","Open","Traffic Sign Complaints","Street Light Complaints","2836 NORCADE CIR, Sacramento, CA, 95826",38.55863,-121.365889
"95",31423537,"2/9/2016 5:45:27 PM","","Open","Traffic Sign Complaints","Street Light Complaints","8137 VISALIA WAY, Sacramento, CA, 95828",38.461431,-121.406975
"96",31423587,"2/9/2016 8:32:10 PM","","Open","Traffic Sign Complaints","Street lighting - 108235","8024 SPRINGARDEN WAY, Sacramento, CA, 95828",38.466427,-121.398025
"97",31423591,"2/9/2016 9:02:16 PM","","Open","Abandoned Vehicles","Abandoned Vehicle - 108237","11528 LINDAY WAY, Sacramento, CA, 95670",38.616974,-121.251171
"98",31423870,"2/10/2016 10:28:42 AM","","Open","Pavement","Pavement","5251 37TH AVE, Sacramento, CA, 95824",38.519528,-121.442243
"99",31424084,"2/10/2016 12:52:11 PM","","Open","Traffic light","Traffic light - 108321","8709 FAIR OAKS BLVD, Sacramento, CA, 95608",38.636429,-121.300004
"100",31424111,"2/10/2016 1:12:10 PM","","Open","Traffic light","Traffic light - 108328","11601 GOLD COUNTRY BLVD, Sacramento, CA, 95670",38.62533,-121.249912
"101",31424156,"2/10/2016 1:46:55 PM","","Open","Pavement","Pavement","6501 W 4TH ST, Sacramento, CA, 95673",38.686214,-121.470793
"102",31424202,"2/10/2016 2:10:59 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","4740 PACIFIC PARK WAY, Sacramento, CA, 95843",38.709293,-121.353153
"103",31424261,"2/10/2016 2:52:12 PM","","Open","Graffiti","Graffiti - 108347","3416 AUBURN BLVD, Sacramento, CA, 95821",38.636819,-121.383725
"104",31424278,"2/10/2016 3:02:08 PM","","Open","Graffiti","Graffiti - 108348","3911 WATT AVE, Sacramento, CA, 95821",38.635834,-121.383009
"105",31424321,"2/10/2016 3:23:54 PM","","Open","Pavement","Pothole Sidewalk Complaints","641 FULTON AVE, Sacramento, CA, 95825",38.576369,-121.403457
"106",31424436,"2/10/2016 5:00:20 PM","","Open","Pavement","Pothole - 108368","6800 BLACK DUCK WAY, Sacramento, CA, 95842",38.690134,-121.358267
"107",31424484,"2/10/2016 6:32:07 PM","","Open","Illegal Dumping","Illegal dumping - 108380","3040 HOWE AVE,Unit 1, Sacramento, CA, 95821",38.620537,-121.415203
"108",31424485,"2/10/2016 6:32:08 PM","","Open","Illegal Dumping","Illegal dumping - 108379","3100 HOWE AVE,Unit A1, Sacramento, CA, 95821",38.621715,-121.415279
"109",31424521,"2/11/2016 5:52:17 AM","","Open","Abandoned Vehicles","Abandoned Vehicle - 108409","6633 SKYVIEW DR, Sacramento, CA, 95662",38.684374,-121.258476
"110",31424524,"2/11/2016 6:18:32 AM","","Open","Traffic Sign Complaints","Street Light Complaints","8538 TIOGAWOODS DR, Sacramento, CA, 95828",38.475528,-121.387973
"111",31424526,"2/11/2016 6:22:12 AM","","Open","Pavement","Pothole - 108415","7321 LAW CT, Sacramento, CA, 95662",38.699374,-121.207609
"112",31424604,"2/11/2016 8:52:53 AM","","Open","Traffic Sign Complaints","Street Light Complaints","9072 POSADA WAY, Sacramento, CA, 95826",38.554607,-121.36492
"113",31424620,"2/11/2016 9:05:03 AM","","Open","Pavement","Pothole Sidewalk Complaints","6128 VIA CASITAS, Sacramento, CA, 95608",38.670134,-121.323512
"114",31424785,"2/11/2016 10:51:30 AM","","Open","Sweeper Request","Sweeper Request","4016 HAPPY LN, Sacramento, CA, 95827",38.555235,-121.322443
"115",31424871,"2/11/2016 11:50:06 AM","","Open","Abandoned Vehicles","Abandoned Vehicle","4204 42ND AVE, Sacramento, CA, 95824",38.515091,-121.458169
"116",31424884,"2/11/2016 12:02:22 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","8134 INGLESIDE WAY, Sacramento, CA, 95828",38.485035,-121.407261
"117",31424900,"2/11/2016 12:11:36 PM","","Open","Graffiti","Graffiti Private Property","9110 GREENBACK LN, Sacramento, CA, 95662",38.678229,-121.215874
"118",31424951,"2/11/2016 12:46:08 PM","","Open","Pavement","Pothole Sidewalk Complaints","8525 MENKE WAY, Sacramento, CA, 95662",38.696949,-121.242916
"119",31424969,"2/11/2016 1:00:22 PM","","Open","Graffiti","Graffiti Private Property","5916 BRETT DR, Sacramento, CA, 95842",38.675205,-121.355233
"120",31425103,"2/11/2016 2:22:10 PM","","Open","Abandoned Vehicles","Abandoned Vehicle - 108513","5908 RANGER WAY, Sacramento, CA, 95608",38.644524,-121.323943
"121",31425115,"2/11/2016 2:31:05 PM","","Open","Pavement","Pavement","4251 NIBLICK WAY, Sacramento, CA, 95628",38.643437,-121.268207
"122",31425144,"2/11/2016 2:50:30 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","9348 PREMIER WAY, Sacramento, CA, 95826",38.558397,-121.34992
"123",31425159,"2/11/2016 3:02:59 PM","","Open","Pavement","Pothole Sidewalk Complaints","1416 JERRILYN CT, Sacramento, CA, 95608",38.590252,-121.353828
"124",31425175,"2/11/2016 3:14:57 PM","","Open","Pavement","Pothole Sidewalk Complaints","6637 MEDORA DR, Sacramento, CA, 95660",38.688097,-121.371194
"125",31425206,"2/11/2016 3:42:08 PM","","Open","Pavement","Pothole - 108538","4876 VOGELSANG DR, Sacramento, CA, 95842",38.678185,-121.35326
"126",31425265,"2/11/2016 4:18:09 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","6149 N HAVEN DR, Sacramento, CA, 95660",38.675695,-121.368434
"127",31425369,"2/11/2016 6:22:10 PM","","Open","Traffic Sign Complaints","Street lighting - 108562","2500 FULTON AVE, Sacramento, CA, 95821",38.610647,-121.401433
"128",31425373,"2/11/2016 6:38:34 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","4508 MARBLE WAY, Sacramento, CA, 95608",38.64425,-121.321847
"129",31425393,"2/11/2016 8:37:03 PM","","Open","Pavement","Pothole Sidewalk Complaints","4600 STOLLWOOD DR, Sacramento, CA, 95608",38.647393,-121.300348
"130",31425436,"2/12/2016 7:42:13 AM","","Open","Illegal Dumping","Illegal dumping - 108625","4701 MANZANITA AVE, Sacramento, CA, 95608",38.649086,-121.327677
"131",31425450,"2/12/2016 8:09:56 AM","","Open","Traffic Sign Complaints","Street Light Complaints","9221 VANCOUVER DR, Sacramento, CA, 95826",38.564522,-121.356848
"132",31425479,"2/12/2016 8:39:15 AM","","Open","Abandoned Vehicles","Abandoned Vehicle","7254 FOXFIELD WAY, Sacramento, CA, 95660",38.698626,-121.37197
