"","CASE_NBR","CREATED","CLOSED","STATUS","TYPE","DESCRIPTION","address","LAT","LON"
"188",31426455,"2/14/2016 11:32:09 AM","","Open","Graffiti","Graffiti - 108973","4813 CLYDEBANK WAY, Sacramento, CA, 95843",38.714971,-121.347417
"189",31426456,"2/14/2016 11:32:09 AM","","Open","Graffiti","Graffiti - 108971","8038 GOLDEN VISTA WAY, Sacramento, CA, 95843",38.715888,-121.344009
"190",31426463,"2/14/2016 11:42:07 AM","","Open","Graffiti","Graffiti - 108976","4833 CLYDEBANK WAY, Sacramento, CA, 95843",38.71463,-121.34751
"191",31426472,"2/14/2016 12:00:18 PM","","Open","Graffiti","Graffiti - 108983","8149 HEARTH PL, Sacramento, CA, 95843",38.71769,-121.345612
"192",31426475,"2/14/2016 12:12:08 PM","","Open","Graffiti","Graffiti - 108990","5208 HEARTLAND DR, Sacramento, CA, 95843",38.71713,-121.343829
"193",31426510,"2/14/2016 2:12:11 PM","","Open","Abandoned Vehicles","Abandoned Vehicle - 109019","5070 HILLSDALE BLVD, Sacramento, CA, 95842",38.659119,-121.36432
"194",31426528,"2/14/2016 3:12:05 PM","","Open","Abandoned Vehicles","Abandoned Vehicle - 109036","4250 MADISON AVE, Sacramento, CA, 95660",38.660999,-121.36552
"195",31426539,"2/14/2016 4:23:28 PM","","Open","Traffic Sign Complaints","Street Light Complaints","2171 GLANCY CT, Sacramento, CA, 95608",38.604648,-121.343116
"196",31426552,"2/14/2016 5:12:07 PM","","Open","Graffiti","Graffiti - 109049","5041 CUMBRAE ISLE WAY, Sacramento, CA, 95843",38.715697,-121.347171
"197",31426555,"2/14/2016 5:20:21 PM","","Open","Graffiti","Graffiti - 109054","4817 MORGAN OAK WAY, Sacramento, CA, 95843",38.71794,-121.352252
"198",31426557,"2/14/2016 5:20:22 PM","","Open","Graffiti","Graffiti - 109051","4924 FAWNRIDGE CT, Sacramento, CA, 95843",38.718845,-121.350205
"199",31426562,"2/14/2016 5:32:10 PM","","Open","Graffiti","Graffiti - 109056","8229 MULRANY WAY, Sacramento, CA, 95843",38.718618,-121.355716
"200",31426592,"2/14/2016 9:10:22 PM","","Open","Pavement","Pothole - 109068","6900 WOODSIDE DR, Sacramento, CA, 95842",38.691683,-121.330323
"201",31426593,"2/14/2016 9:12:07 PM","","Open","Pavement","Pothole - 109069","5743 LANCELOT DR, Sacramento, CA, 95842",38.690764,-121.331369
"202",31426594,"2/14/2016 9:12:08 PM","","Open","Pavement","Pothole - 109070","5553 WOODFOREST DR, Sacramento, CA, 95842",38.690209,-121.334514
"203",31426604,"2/15/2016 12:52:08 AM","","Open","Traffic light","Traffic light - 109074","5925 RAMPART DR,Unit 41, Sacramento, CA, 95608",38.647887,-121.325082
"204",31426605,"2/15/2016 1:12:06 AM","","Open","Traffic Sign Complaints","Street lighting - 109075","6121 MARTIN LUTHER KING JR BLVD, Sacramento, CA, 95824",38.514967,-121.46454
"205",31426606,"2/15/2016 1:12:06 AM","","Open","Traffic Sign Complaints","Street lighting - 109076","6200 39TH ST, Sacramento, CA, 95824",38.513988,-121.462752
"206",31426615,"2/15/2016 4:52:14 AM","","Open","Traffic Sign Complaints","Street lighting - 109081","8564 VINTAGE PARK DR, Sacramento, CA, 95828",38.460324,-121.381077
"207",31426626,"2/15/2016 7:43:25 AM","","Open","Pavement","Pothole Sidewalk Complaints","8101 HAYSTACK DR, Sacramento, CA, 95828",38.477561,-121.408752
"208",31426682,"2/15/2016 9:22:10 AM","","Open","Pavement","Pothole - 109110","3300 SIERRA OAKS DR, Sacramento, CA, 95864",38.572216,-121.389411
"209",31426683,"2/15/2016 9:22:11 AM","","Open","Pavement","Pothole - 109112","3300 SIERRA OAKS DR, Sacramento, CA, 95864",38.572216,-121.389411
"210",31426684,"2/15/2016 9:22:11 AM","","Open","Pavement","Pothole - 109113","8052 CAYMUS DR, Sacramento, CA, 95829",38.46503,-121.364498
"211",31426724,"2/15/2016 9:58:27 AM","","Open","Pavement","Pothole Sidewalk Complaints","5957 SARAH CT, Sacramento, CA, 95608",38.604454,-121.327305
"212",31426732,"2/15/2016 10:12:09 AM","","Open","Illegal Dumping","Illegal dumping - 109118","3859 WOODCREST RD, Sacramento, CA, 95821",38.62477,-121.37463
"213",31426794,"2/15/2016 11:30:12 AM","","Open","Abandoned Vehicles","Abandoned Vehicle","5158 RHODE ISLAND DR, Sacramento, CA, 95841",38.659784,-121.333541
"214",31427039,"2/15/2016 5:02:29 PM","","Open","Graffiti","Graffiti - 109198","5781 OLD ANTELOPE NORTH RD, Sacramento, CA, 95843",38.708088,-121.330694
"215",31427040,"2/15/2016 5:02:30 PM","","Open","Graffiti","Graffiti - 109197","5755 ANTELOPE NORTH RD, Sacramento, CA, 95843",38.70733,-121.331432
"216",31427055,"2/15/2016 5:22:50 PM","","Open","Traffic Sign Complaints","Street Light Complaints","8208 PINTO CT, Sacramento, CA, 95843",38.71826,-121.38548
"217",31427081,"2/15/2016 6:32:11 PM","","Open","Abandoned Vehicles","Abandoned Vehicle - 109214","5829 RIDGEPOINT DR, Sacramento, CA, 95843",38.720065,-121.32926
"218",31427083,"2/15/2016 6:32:12 PM","","Open","Graffiti","Graffiti - 109216","3956 BRIDGE ST, Sacramento, CA, 95628",38.638357,-121.266955
"219",31427173,"2/16/2016 8:07:49 AM","","Open","Pavement","Pothole Sidewalk Complaints","4551 EDISON AVE, Sacramento, CA, 95821",38.636659,-121.358206
"220",31427195,"2/16/2016 8:22:12 AM","","Open","Graffiti","Graffiti - 109294","3956 BRIDGE ST, Sacramento, CA, 95628",38.638357,-121.266955
"221",31427196,"2/16/2016 8:22:12 AM","","Open","Graffiti","Graffiti - 109295","3956 BRIDGE ST, Sacramento, CA, 95628",38.638357,-121.266955
"222",31427389,"2/16/2016 10:02:13 AM","","Open","Traffic Sign Complaints","Road traffic sign - 109307","7112 STOCKER WAY, Sacramento, CA, 95828",38.500482,-121.420665
"223",31427415,"2/16/2016 10:16:17 AM","","Open","Sweeper Request","Sweeper Request","1295 FULTON AVE, Sacramento, CA, 95825",38.588684,-121.401542
"224",31427505,"2/16/2016 10:53:15 AM","","Open","Traffic Sign Complaints","Street Light Complaints","440 ARLINGDALE CIR, Sacramento, CA, 95673",38.703058,-121.454886
"225",31427602,"2/16/2016 11:41:05 AM","","Open","Traffic Sign Complaints","Street Light Complaints","5760 SAMPSON BLVD, Sacramento, CA, 95824",38.521631,-121.449101
"226",31427668,"2/16/2016 12:23:16 PM","","Open","Traffic Sign Complaints","Street Light Complaints","545 ARLINGDALE CIR, Sacramento, CA, 95673",38.703569,-121.453726
"227",31427673,"2/16/2016 12:26:55 PM","","Open","Traffic Sign Complaints","Street Light Complaints","5987 KYLENCH CT, Sacramento, CA, 95621",38.708951,-121.324693
"228",31427746,"2/16/2016 1:09:43 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","8052 GOLDENLEAF WAY, Sacramento, CA, 95829",38.464476,-121.334094
"229",31427919,"2/16/2016 3:10:44 PM","","Open","Traffic Sign Complaints","Traffic Sign Complaints","11595 PROSPECT HILL DR, Sacramento, CA, 95670",38.583331,-121.275564
"230",31427940,"2/16/2016 3:24:56 PM","","Open","Pavement","Ditches/Culverts","7607 DRY CREEK RD, Sacramento, CA, 95626",38.704982,-121.438393
"231",31427970,"2/16/2016 3:42:03 PM","","Open","Traffic Sign Complaints","Traffic Sign Complaints","3724 WILLIAM WAY, Sacramento, CA, 95821",38.630808,-121.377902
"232",31428151,"2/16/2016 6:43:22 PM","","Open","Traffic Sign Complaints","Street Light Complaints","6125 MARTIN LUTHER KING JR BLVD, Sacramento, CA, 95824",38.514885,-121.464614
"233",31428170,"2/16/2016 8:51:53 PM","","Open","Graffiti","Graffiti Private Property","7420 SUNSET AVE, Sacramento, CA, 95628",38.652608,-121.291436
"234",31428190,"2/17/2016 5:32:16 AM","","Open","Traffic Sign Complaints","Street lighting - 109472","5700 CYPRESS AVE, Sacramento, CA, 95608",38.638925,-121.332142
"235",31428223,"2/17/2016 7:44:42 AM","","Open","Traffic Sign Complaints","Street Light Complaints","8640 OAK VILLAGE CT, Sacramento, CA, 95843",38.726623,-121.384674
"236",31428279,"2/17/2016 8:39:34 AM","","Open","Traffic Sign Complaints","Street Light Complaints","9071 SHADY HOLLOW WAY, Sacramento, CA, 95628",38.643454,-121.26344
"237",31428288,"2/17/2016 8:48:14 AM","","Open","Sweeper Request","Sweeper Request","8080 MORGAN HILL WAY, Sacramento, CA, 95828",38.463259,-121.386453
"238",31428326,"2/17/2016 9:14:11 AM","","Open","Abandoned Vehicles","Abandoned Vehicle - 109520","8521 OAK AVE, Sacramento, CA, 95662",38.700573,-121.243353
"239",31428437,"2/17/2016 10:27:54 AM","","Open","Illegal Dumping","Aggregate Dumping","960 CASTEC DR, Sacramento, CA, 95864",38.58189,-121.378629
"240",31428457,"2/17/2016 10:46:33 AM","","Open","Pavement","Pothole Sidewalk Complaints","9090 CASELMAN RD, Sacramento, CA, 95829",38.472662,-121.363865
"241",31428459,"2/17/2016 10:47:37 AM","","Open","Pavement","Pothole Sidewalk Complaints","9086 GERBER RD, Sacramento, CA, 95829",38.481575,-121.363969
"242",31428520,"2/17/2016 11:31:09 AM","","Open","Abandoned Vehicles","Abandoned Vehicle","4352 GREENHOLME DR,Unit 11, Sacramento, CA, 95842",38.669911,-121.362161
"243",31428534,"2/17/2016 11:42:11 AM","","Open","Pavement","Pothole - 109546","2901 TIOGA WAY, Sacramento, CA, 95821",38.620432,-121.395761
"244",31428577,"2/17/2016 12:12:56 PM","","Open","Graffiti","Graffiti Public Right of Way","6143 32ND ST, Sacramento, CA, 95660",38.67838,-121.392235
"245",31428634,"2/17/2016 12:48:59 PM","","Open","Traffic Sign Complaints","Street Light Complaints","8327 HERNDON CT, Sacramento, CA, 95828",38.4612,-121.399004
"246",31428651,"2/17/2016 1:02:27 PM","","Open","Pavement","Pothole - 109560","3700 MORSE AVE,Unit 15, Sacramento, CA, 95821",38.613254,-121.373006
"247",31428652,"2/17/2016 1:02:28 PM","","Open","Pavement","Pothole - 109566","3713 MORSE AVE, Sacramento, CA, 95821",38.631855,-121.392248
"248",31428656,"2/17/2016 1:03:45 PM","","Open","Traffic Sign Complaints","Street Light Complaints","4620 MARTSMITH WAY, Sacramento, CA, 95628",38.643437,-121.268207
"249",31428671,"2/17/2016 1:15:02 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","6704 MEDORA DR, Sacramento, CA, 95660",38.689712,-121.370604
"250",31428694,"2/17/2016 1:31:14 PM","","Open","Traffic Sign Complaints","Street Light Complaints","7826 PACIFIC DUNES CT, Sacramento, CA, 95829",38.473133,-121.319677
"251",31428697,"2/17/2016 1:32:06 PM","","Open","Pavement","Pothole - 109574","2913 KERRIA WAY, Sacramento, CA, 95821",38.627282,-121.395071
"252",31428774,"2/17/2016 2:26:58 PM","","Open","Traffic Sign Complaints","Street Light Complaints","6229 OPUS CT, Sacramento, CA, 95621",38.715871,-121.316995
"253",31428782,"2/17/2016 2:32:32 PM","","Open","Graffiti","Graffiti Public Right of Way","8930 LA RIVIERA DR, Sacramento, CA, 95826",38.563479,-121.371465
"254",31428856,"2/17/2016 3:24:44 PM","","Open","Tree","Tree Complaints","3600 SEAN DR, Sacramento, CA, 95821",38.627213,-121.381729
"255",31428860,"2/17/2016 3:26:57 PM","","Open","Traffic Sign Complaints","Street Light Complaints","9158 COLONSAY WAY, Sacramento, CA, 95829",38.461014,-121.359645
"256",31428865,"2/17/2016 3:30:57 PM","","Open","Pavement","Ditches/Culverts","146 Q ST, Sacramento, CA, 95673",38.698384,-121.462461
"257",31428901,"2/17/2016 3:55:59 PM","","Open","Traffic Sign Complaints","Street Light Complaints","8138 OTIUM CT, Sacramento, CA, 95843",38.717365,-121.354727
"258",31428949,"2/17/2016 4:25:15 PM","","Open","Traffic Sign Complaints","Street Light Complaints","9111 ANISTASIA CT, Sacramento, CA, 95829",38.457714,-121.361948
"259",31429002,"2/17/2016 5:19:55 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","3736 LENORE WAY, Sacramento, CA, 95660",38.657188,-121.377263
"260",31429021,"2/17/2016 5:52:08 PM","","Open","Illegal Dumping","Illegal dumping - 109630","7141 FRANKLIN BLVD, Sacramento, CA, 95823",38.496931,-121.459685
"261",31429074,"2/18/2016 6:12:12 AM","","Open","Illegal Dumping","Illegal dumping - 109658","7417 SAN NITA WAY, Sacramento, CA, 95628",38.643437,-121.268207
"262",31429086,"2/18/2016 7:39:18 AM","","Open","Traffic Sign Complaints","Street Light Complaints","11357 SABALO CT, Sacramento, CA, 95670",38.617282,-121.25875
"263",31429155,"2/18/2016 8:59:52 AM","","Open","Traffic Sign Complaints","Street Light Complaints","3612 TIMMCO CT, Sacramento, CA, 95608",38.630331,-121.335186
"264",31429177,"2/18/2016 9:22:43 AM","","Open","Tree","Tree Complaints","7324 SUNSET AVE, Sacramento, CA, 95628",38.6526,-121.293012
"265",31429195,"2/18/2016 9:33:23 AM","","Open","Traffic Sign Complaints","Street Light Complaints","4120 DAYSTAR CT, Sacramento, CA, 95824",38.520369,-121.458594
"266",31429240,"2/18/2016 10:03:32 AM","","Open","Traffic Sign Complaints","Street Light Complaints","8021 GLENBAR WAY, Sacramento, CA, 95628",38.643452,-121.266215
"267",31429260,"2/18/2016 10:16:17 AM","","Open","Abandoned Vehicles","Abandoned Vehicle","2905 HOLT WAY, Sacramento, CA, 95864",38.592697,-121.39664
"268",31429299,"2/18/2016 10:42:26 AM","","Open","Abandoned Vehicles","Abandoned Vehicle","3860 35TH AVE, Sacramento, CA, 95824",38.52128,-121.463998
"269",31429321,"2/18/2016 11:04:00 AM","","Open","Traffic Sign Complaints","Street Light Complaints","7652 PHEASANT DOWN WAY, Sacramento, CA, 95828",38.479475,-121.379261
"270",31429339,"2/18/2016 11:17:56 AM","","Open","Traffic Sign Complaints","Street Light Complaints","4700 GENERO CT, Sacramento, CA, 95843",38.721089,-121.355055
"271",31429357,"2/18/2016 11:35:44 AM","","Open","Traffic Sign Complaints","Street Light Complaints","5109 VISTA DEL ORO WAY, Sacramento, CA, 95628",38.643437,-121.268207
"272",31429358,"2/18/2016 11:37:44 AM","","Open","Pavement","Pavement","5124 GIBBONS DR,Unit 1, Sacramento, CA, 95608",38.635399,-121.345655
"273",31429359,"2/18/2016 11:37:55 AM","","Open","Pavement","Pothole Sidewalk Complaints","5124 GIBBONS DR, Sacramento, CA, 95608",38.635399,-121.345655
"274",31429361,"2/18/2016 11:41:17 AM","","Open","Abandoned Vehicles","Abandoned Vehicle","1111 CLINTON RD, Sacramento, CA, 95825",38.585202,-121.406919
"275",31429388,"2/18/2016 12:05:56 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","2931 WRIGHT ST, Sacramento, CA, 95821",38.618591,-121.406129
"276",31429469,"2/18/2016 1:07:13 PM","","Open","Traffic Sign Complaints","Street Light Complaints","6541 YOUNG OAK CT, Sacramento, CA, 95662",38.700517,-121.244327
"277",31429519,"2/18/2016 1:46:16 PM","","Open","Tree","Tree Complaints","9104 ELM AVE, Sacramento, CA, 95662",38.69281,-121.215748
"278",31429521,"2/18/2016 1:49:21 PM","","Open","Traffic Sign Complaints","Street Light Complaints","8600 TIOGAWOODS DR, Sacramento, CA, 95828",38.474799,-121.386256
"279",31429560,"2/18/2016 2:16:21 PM","","Open","Traffic Sign Complaints","Street Light Complaints","4233 LEAFMONT WAY, Sacramento, CA, 95826",38.543421,-121.345645
"280",31429568,"2/18/2016 2:22:09 PM","","Open","Pavement","Pothole Sidewalk Complaints","6253 JACK LONDON CIR, Sacramento, CA, 95842",38.683712,-121.352786
"281",31429611,"2/18/2016 2:57:28 PM","","Open","Traffic Sign Complaints","Street Light Complaints","5139 KARM WAY, Sacramento, CA, 95842",38.690734,-121.344336
"282",31429729,"2/18/2016 4:12:35 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","3616 ELKHORN BLVD, Sacramento, CA, 95660",38.690239,-121.382265
"283",31429822,"2/18/2016 9:50:34 PM","","Open","Traffic Sign Complaints","Street Light Complaints","14129 PINE ST, Sacramento, CA, 95690",38.242632,-121.510386
"284",31429858,"2/19/2016 7:31:46 AM","","Open","Pavement","Pothole Sidewalk Complaints","3817 FONT ST, Sacramento, CA, 95821",38.616554,-121.375928
"285",31429970,"2/19/2016 9:23:23 AM","","Open","Traffic Sign Complaints","Traffic Sign Complaints","2949 NORRIS AVE, Sacramento, CA, 95821",38.618998,-121.369137
"286",31429973,"2/19/2016 9:28:15 AM","","Open","Pavement","Pothole Sidewalk Complaints","4220 41ST AVE, Sacramento, CA, 95824",38.515842,-121.458186
"287",31430036,"2/19/2016 10:18:42 AM","","Open","Tree","Tree Complaints","4642 BERRENDO DR, Sacramento, CA, 95864",38.591016,-121.356628
"288",31430237,"2/19/2016 12:55:33 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","5520 47TH AVE, Sacramento, CA, 95824",38.510397,-121.440633
"289",31430260,"2/19/2016 1:22:06 PM","","Open","Tree","Tree - 109914","2613 CATALINA DR, Sacramento, CA, 95821",38.612521,-121.374399
"290",31430376,"2/19/2016 2:47:19 PM","","Open","Traffic Sign Complaints","Street Light Complaints","8240 KILMER CIR, Sacramento, CA, 95828",38.474761,-121.402559
"291",31430425,"2/19/2016 3:29:28 PM","","Open","Traffic Sign Complaints","Street Light Complaints","6201 39TH ST, Sacramento, CA, 95824",38.513988,-121.462752
"292",31430508,"2/19/2016 4:34:12 PM","","Open","Pavement","Pavement","2816 CARRISA WAY, Sacramento, CA, 95821",38.615335,-121.372691
"293",31430525,"2/19/2016 4:53:02 PM","","Open","Traffic Sign Complaints","Street Light Complaints","1018 CLINTON RD, Sacramento, CA, 95825",38.584708,-121.409927
"294",31430580,"2/20/2016 1:24:54 AM","","Open","Traffic Sign Complaints","Street Light Complaints","6033 N HAVEN DR, Sacramento, CA, 95660",38.675757,-121.37329
"295",31430592,"2/20/2016 5:10:39 AM","","Open","Traffic Sign Complaints","Street Light Complaints","5957 GEORGIA DR, Sacramento, CA, 95660",38.675153,-121.376349
"296",31430608,"2/20/2016 10:12:14 AM","","Open","Pavement","Pothole - 110046","4609 JAN DR, Sacramento, CA, 95608",38.646917,-121.318136
"297",31430620,"2/20/2016 11:48:02 AM","","Open","Pavement","Pavement","7930 EL RENO AVE, Sacramento, CA, 95626",38.712898,-121.454178
"298",31430626,"2/20/2016 12:52:09 PM","","Open","Graffiti","Graffiti - 110070","5136 VISTA SIERRA DR, Sacramento, CA, 95843",38.521609,-121.46602
"299",31430664,"2/20/2016 3:31:00 PM","","Open","Pavement","Pothole Sidewalk Complaints","4180 BIRDWELL WAY, Sacramento, CA, 95660",38.698251,-121.366464
"300",31430729,"2/21/2016 5:52:10 AM","","Open","Graffiti","Graffiti - 110153","4801 TOMMAR DR, Sacramento, CA, 95628",38.652877,-121.261361
"301",31430730,"2/21/2016 5:52:10 AM","","Open","Graffiti","Graffiti - 110154","4738 KATHYWOOD CT, Sacramento, CA, 95628",38.643437,-121.268207
"302",31430740,"2/21/2016 9:14:32 AM","","Open","Traffic Sign Complaints","Street Light Complaints","9153 NEWHALL DR,Unit 102, Sacramento, CA, 95826",38.542352,-121.359365
"303",31430743,"2/21/2016 9:44:27 AM","","Open","Traffic Sign Complaints","Street Light Complaints","8325 ALMADINE DR, Sacramento, CA, 95829",38.4562,-121.324025
"304",31430759,"2/21/2016 11:27:12 AM","","Open","Tree","Tree Complaints","9154 NEWHALL DR, Sacramento, CA, 95826",38.542352,-121.359337
"305",31430773,"2/21/2016 12:16:16 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","6212 CLARA WAY, Sacramento, CA, 95660",38.679172,-121.377456
"306",31430797,"2/21/2016 2:07:02 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","7650 ZEPHYR HILLS WAY, Sacramento, CA, 95843",38.704529,-121.368567
"307",31430815,"2/21/2016 3:30:50 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","3860 35TH AVE, Sacramento, CA, 95824",38.52128,-121.463998
"308",31430847,"2/21/2016 4:52:12 PM","","Open","Pavement","Pothole - 110305","2851 LAUREL DR, Sacramento, CA, 95864",38.576341,-121.395906
"309",31430869,"2/21/2016 6:32:50 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","3924 SCOTTY WAY, Sacramento, CA, 95821",38.636539,-121.355699
"310",31430899,"2/22/2016 4:33:09 AM","","Open","Traffic Sign Complaints","Traffic Signal Complaints","8625 CALVINE RD, Sacramento, CA, 95828",38.452651,-121.384468
"311",31430938,"2/22/2016 8:06:08 AM","","Open","Traffic Sign Complaints","Street Light Complaints","6931 OLIVE GROVE DR, Sacramento, CA, 95662",38.691375,-121.212811
"312",31430940,"2/22/2016 8:08:29 AM","","Open","Traffic Sign Complaints","Street Light Complaints","2511 RIO BRAVO CIR, Sacramento, CA, 95826",38.569742,-121.354188
"313",31430965,"2/22/2016 8:31:57 AM","","Open","Traffic Sign Complaints","Street Light Complaints","9552 GARDELLA WAY, Sacramento, CA, 95829",38.463474,-121.368034
"314",31430968,"2/22/2016 8:32:10 AM","","Open","Pavement","Pothole - 110398","2816 NORCADE CIR, Sacramento, CA, 95826",38.5582,-121.365761
"315",31431012,"2/22/2016 8:59:02 AM","","Open","Abandoned Vehicles","Abandoned Vehicle","5605 NONA WAY, Sacramento, CA, 95824",38.524805,-121.454291
"316",31431018,"2/22/2016 9:05:30 AM","","Open","Abandoned Vehicles","Abandoned Vehicle","6201 WELTY WAY, Sacramento, CA, 95824",38.51329,-121.453644
"317",31431024,"2/22/2016 9:11:12 AM","","Open","Pavement","Ditches/Culverts","5706 16TH ST, Sacramento, CA, 95673",38.671042,-121.429065
"318",31431056,"2/22/2016 9:26:33 AM","","Open","Pavement","Ditches/Culverts","9030 RIO LINDA BLVD, Sacramento, CA, 95626",38.732677,-121.480021
"319",31431075,"2/22/2016 9:35:26 AM","","Open","Pavement","Pothole Sidewalk Complaints","7520 COTTONTREE WAY, Sacramento, CA, 95828",38.484807,-121.410251
"320",31431084,"2/22/2016 9:39:44 AM","","Open","Pavement","Pothole Sidewalk Complaints","2505 MICHELLE DR, Sacramento, CA, 95821",38.623853,-121.403591
"321",31431094,"2/22/2016 9:45:37 AM","","Open","Traffic Sign Complaints","Street Light Complaints","4028 DIAMOND HILL CT, Sacramento, CA, 95843",38.724009,-121.369869
"322",31431115,"2/22/2016 9:59:30 AM","","Open","Traffic Sign Complaints","Street Light Complaints","6045 GRANT AVE, Sacramento, CA, 95608",38.629652,-121.324473
"323",31431120,"2/22/2016 10:03:38 AM","","Open","Traffic Sign Complaints","Street Light Complaints","3815 MYRNA WAY, Sacramento, CA, 95821",38.634219,-121.365541
"324",31431128,"2/22/2016 10:07:55 AM","","Open","Pavement","Pothole Sidewalk Complaints","12572 CHEROKEE LN, Sacramento, CA, 95632",38.332957,-121.267513
"325",31431192,"2/22/2016 10:41:16 AM","","Open","Pavement","Pothole Sidewalk Complaints","3948 GREY LIVERY WAY, Sacramento, CA, 95843",38.707442,-121.379706
"326",31431246,"2/22/2016 11:06:30 AM","","Open","Abandoned Vehicles","Abandoned Vehicle","9120 LA SERENA DR, Sacramento, CA, 95628",38.643454,-121.26344
"327",31431254,"2/22/2016 11:09:22 AM","","Open","Tree","Tree Complaints","6305 OUTLOOK DR, Sacramento, CA, 95621",38.715547,-121.317888
"328",31431344,"2/22/2016 11:52:08 AM","","Open","Pavement","Pavement","3125 TIMBERLANE PL, Sacramento, CA, 95843",38.712382,-121.39091
"329",31431358,"2/22/2016 12:07:58 PM","","Open","Pavement","Pothole Sidewalk Complaints","7980 CAVALLI WAY, Sacramento, CA, 95628",38.643437,-121.268207
"330",31431372,"2/22/2016 12:17:11 PM","","Open","Traffic Sign Complaints","Street Light Complaints","910 STRIKER AVE, Sacramento, CA, 95834",38.650986,-121.482361
"331",31431481,"2/22/2016 1:30:32 PM","","Open","Traffic Sign Complaints","Street Light Complaints","6221 39TH ST, Sacramento, CA, 95824",38.513334,-121.462677
"332",31431549,"2/22/2016 2:17:46 PM","","Open","Traffic Sign Complaints","Traffic Signal Complaints","8364 ELK GROVE FLORIN RD, Sacramento, CA, 95829",38.453765,-121.371834
"333",31431560,"2/22/2016 2:29:31 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","2931 WRIGHT ST, Sacramento, CA, 95821",38.618591,-121.406129
"334",31431677,"2/22/2016 3:53:46 PM","","Open","Graffiti","Graffiti Private Property","2160 MARCONI AVE, Sacramento, CA, 95821",38.618494,-121.416544
"335",31431683,"2/22/2016 3:56:12 PM","","Open","Pavement","Pothole Sidewalk Complaints","5732 CANARY DR, Sacramento, CA, 95660",38.671593,-121.380199
"336",31431706,"2/22/2016 4:11:20 PM","","Open","Traffic Sign Complaints","Street Light Complaints","6205 RUTLAND DR, Sacramento, CA, 95608",38.660505,-121.318009
"337",31431736,"2/22/2016 4:34:19 PM","","Open","Pavement","Pavement","6860 CUNNINGHAM WAY, Sacramento, CA, 95828",38.503204,-121.426166
"338",31431777,"2/22/2016 5:09:30 PM","","Open","Graffiti","Graffiti Private Property","5365 DEWEY DR, Sacramento, CA, 95628",38.66296,-121.30855
"339",31431824,"2/22/2016 6:38:51 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","6025 GAY WAY, Sacramento, CA, 95660",38.676312,-121.369639
"340",31431880,"2/23/2016 4:29:12 AM","","Open","Abandoned Vehicles","Abandoned Vehicle","8357 SUMMER SKY DR, Sacramento, CA, 95828",38.467518,-121.396785
"341",31431895,"2/23/2016 7:02:16 AM","","Open","Pavement","Pothole - 110508","6698 SILVERTHORNE CIR, Sacramento, CA, 95842",38.684587,-121.344915
"342",31432043,"2/23/2016 9:41:09 AM","","Open","Traffic Sign Complaints","Street Light Complaints","3820 BLACKFOOT WAY, Sacramento, CA, 95843",38.708686,-121.374968
"343",31432059,"2/23/2016 9:55:39 AM","","Open","Abandoned Vehicles","Abandoned Vehicle","4506 MERGANSER CT, Sacramento, CA, 95842",38.693153,-121.359322
"344",31432171,"2/23/2016 11:12:13 AM","","Open","Graffiti","Graffiti - 110560","2650 WATT AVE, Sacramento, CA, 95821",38.613346,-121.383067
"345",31432251,"2/23/2016 12:12:43 PM","","Open","Abandoned Vehicles","Abandoned Vehicle","5064 SHELL ST, Sacramento, CA, 95660",38.659515,-121.376403
"346",31432375,"2/23/2016 1:43:40 PM","","Open","Pavement","Pothole Sidewalk Complaints","6440 BEECH AVE, Sacramento, CA, 95662",38.68307,-121.230166
"347",31432417,"2/23/2016 2:17:55 PM","","Open","Traffic Sign Complaints","Street Light Complaints","7649 HEPBURN WAY, Sacramento, CA, 95843",38.705272,-121.361624
"348",31432504,"2/23/2016 3:24:45 PM","","Open","Pavement","Pothole Sidewalk Complaints","8058 LOMAND CT, Sacramento, CA, 95828",38.465328,-121.377122
"349",31432534,"2/23/2016 3:46:04 PM","","Open","Traffic Sign Complaints","Street Light Complaints","4528 WRENFORD WAY, Sacramento, CA, 95842",38.702314,-121.35784
"350",31432537,"2/23/2016 3:50:26 PM","","Open","Tree","Tree Complaints","7417 SAN NITA WAY, Sacramento, CA, 95628",38.643437,-121.268207
"351",31432572,"2/23/2016 4:15:20 PM","","Open","Traffic Sign Complaints","Street Light Complaints","5980 KYLENCH CT, Sacramento, CA, 95621",38.708876,-121.324836
"352",31432582,"2/23/2016 4:25:43 PM","","Open","Traffic Sign Complaints","Street Light Complaints","4906 VENUTO WAY, Sacramento, CA, 95841",38.664717,-121.350408
"353",31432635,"2/23/2016 5:33:04 PM","","Open","Pavement","Pavement","4606 SHAFTESBURY CT, Sacramento, CA, 95608",38.648114,-121.337292
